sci_name,lat_species,lon_species,microplastics_measurement,unit,concentration_class_range,mesh_size_mm,lat_microplastic,lon_microplastic,dist_meters
Ophisternon infernale,20.75,-89.33,0.0,pieces/m3,0-100,0.5,21.29148,-89.634561,72600.52466981225
Ophisternon infernale,20.75,-89.33,2820.874471,pieces/m3,500-30000,0.5,21.29148,-89.634561,72600.52466981225
Ophisternon infernale,20.75,-89.33,3526.093089,pieces/m3,500-30000,0.5,21.29148,-89.634561,72600.52466981225
Ophisternon infernale,20.75,-89.33,2115.655853,pieces/m3,500-30000,0.5,21.29148,-89.634561,72600.52466981225
Ophisternon infernale,20.75,-89.33,1410.437236,pieces/m3,500-30000,0.5,21.29148,-89.634561,72600.52466981225
Ophisternon infernale,20.75,-89.33,705.218618,pieces/m3,500-30000,0.5,21.29148,-89.634561,72600.52466981225
Ophisternon infernale,20.43,-89.31,,,,,,,
Ophisternon infernale,19.93,-88.79,,,,,,,
Ophisternon infernale,20.67,-88.53,,,,,,,
Ophisternon infernale,20.2,-87.5,,pieces/10 mins,2-40,,20.1973,-87.4369,7031.471045978221
Ophisternon infernale,20.32,-87.37,,pieces/10 mins,2-40,,20.3191,-87.3536,1828.7263140821244
Ophisternon infernale,20.87,-89.33,0.0,pieces/m3,0-100,0.5,21.29148,-89.634561,60403.29736319593
Ophisternon infernale,20.87,-89.33,2820.874471,pieces/m3,500-30000,0.5,21.29148,-89.634561,60403.29736319593
Ophisternon infernale,20.87,-89.33,3526.093089,pieces/m3,500-30000,0.5,21.29148,-89.634561,60403.29736319593
Ophisternon infernale,20.87,-89.33,2115.655853,pieces/m3,500-30000,0.5,21.29148,-89.634561,60403.29736319593
Ophisternon infernale,20.87,-89.33,1410.437236,pieces/m3,500-30000,0.5,21.29148,-89.634561,60403.29736319593
Ophisternon infernale,20.87,-89.33,705.218618,pieces/m3,500-30000,0.5,21.29148,-89.634561,60403.29736319593
Ophisternon infernale,20.49,-89.74,,pieces/10 mins,0,,20.8588,-90.4021,85646.69408748535
Glyptothorax nelsoni,23.350425,85.369363,,,,,,,
Tlaloc hildebrandi,16.695392,-92.105793,,,,,,,
Tlaloc hildebrandi,16.872258,-92.038653,,,,,,,
Tlaloc hildebrandi,16.687116,-92.016711,,,,,,,
Tlaloc hildebrandi,16.95987,-92.21189,,,,,,,
Tlaloc hildebrandi,16.942743,-92.18469,,,,,,,
Tlaloc hildebrandi,16.857827,-92.005257,,,,,,,
Tlaloc hildebrandi,16.9025,-92.63056,,,,,,,
Tlaloc hildebrandi,16.74667,-92.61667,,,,,,,
Tlaloc hildebrandi,16.70758,-92.61522,,,,,,,
Tlaloc hildebrandi,16.74778,-92.65611,,,,,,,
Tlaloc hildebrandi,16.70944,-92.63722,,,,,,,
Tlaloc hildebrandi,16.71028,-92.62556,,,,,,,
Tlaloc hildebrandi,16.71528,-92.62444,,,,,,,
Tlaloc hildebrandi,16.73306,-92.615,,,,,,,
Tlaloc hildebrandi,16.72528,-92.58139,,,,,,,
Tlaloc hildebrandi,16.72861,-92.57889,,,,,,,
Tlaloc hildebrandi,16.76583,-92.52861,,,,,,,
Tlaloc hildebrandi,16.76694,-92.5275,,,,,,,
Tlaloc hildebrandi,16.747586,-92.617858,,,,,,,
Tlaloc hildebrandi,16.906716,-92.074003,,,,,,,
Tlaloc hildebrandi,16.76287,-92.67911,,,,,,,
Tlaloc hildebrandi,16.76204,-92.67094,,,,,,,
Tlaloc hildebrandi,16.74778,-92.65612,,,,,,,
Tlaloc hildebrandi,16.71022,-92.6375,,,,,,,
Tlaloc hildebrandi,16.72931,-92.63578,,,,,,,
Tlaloc hildebrandi,16.938931,-92.631454,,,,,,,
Tlaloc hildebrandi,16.7525,-92.63056,,,,,,,
Tlaloc hildebrandi,16.71027,-92.62556,,,,,,,
Tlaloc hildebrandi,16.71409,-92.62544,,,,,,,
Tlaloc hildebrandi,16.85818,-92.62539,,,,,,,
Tlaloc hildebrandi,16.74716,-92.61637,,,,,,,
Tlaloc hildebrandi,16.73417,-92.61469,,,,,,,
Tlaloc hildebrandi,16.74619,-92.61454,,,,,,,
Tlaloc hildebrandi,16.94729,-92.59365,,,,,,,
Tlaloc hildebrandi,16.72861,-92.5789,,,,,,,
Tlaloc hildebrandi,16.73168,-92.53855,,,,,,,
Tlaloc hildebrandi,16.76583,-92.52862,,,,,,,
Tlaloc hildebrandi,16.76694,-92.52751,,,,,,,
Tlaloc hildebrandi,16.726,-92.50905,,,,,,,
Tlaloc hildebrandi,16.82402,-92.24374,,,,,,,
Tlaloc hildebrandi,16.95368,-92.11451,,,,,,,
Tlaloc hildebrandi,16.9144,-92.10031,,,,,,,
Vieja hartwegi,16.738,-93.033,,,,,,,
Vieja hartwegi,16.33,-93.538,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,68159.51306855655
Vieja hartwegi,16.601,-92.9,,,,,,,
Vieja hartwegi,16.55,-92.817,,,,,,,
Vieja hartwegi,16.008,-92.3,,,,,,,
Vieja hartwegi,16.085,-91.897,,,,,,,
Vieja hartwegi,16.49389,-93.97472,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,62390.76242485884
Vieja hartwegi,16.49389,-93.97475,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,62390.549911443006
Vieja hartwegi,16.56417,-93.90947,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,71265.98271263878
Vieja hartwegi,16.56428,-93.90942,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,71279.39821717828
Vieja hartwegi,16.69372,-93.56022,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,98960.24229261768
Vieja hartwegi,16.61025,-93.08406,,,,,,,
Vieja hartwegi,16.61028,-93.08417,,,,,,,
Vieja hartwegi,16.49206,-92.97711,,,,,,,
Vieja hartwegi,16.49222,-92.97722,,,,,,,
Vieja hartwegi,15.88556,-92.72025,,,,,,,
Vieja hartwegi,15.74375,-92.28081,,,,,,,
Vieja hartwegi,15.74389,-92.28081,,,,,,,
Vieja hartwegi,15.74389,-92.28056,,,,,,,
Vieja hartwegi,17.23875,-93.58106,,,,,,,
Vieja hartwegi,17.22511,-93.57142,,,,,,,
Vieja hartwegi,17.17433,-93.44106,,,,,,,
Vieja hartwegi,17.17506,-93.44156,,,,,,,
Vieja hartwegi,17.16972,-93.41639,,,,,,,
Vieja hartwegi,17.13711,-93.31283,,,,,,,
Vieja hartwegi,16.21278,-93.26889,0.002,pieces/m3,0.0005-0.005,0.00045,15.9535,-94.0104,87776.9434150404
Vieja hartwegi,16.15878,-93.07925,,,,,,,
Allotoca diazi,19.5575,-101.5651,,,,,,,
Allotoca diazi,19.5205,-101.5214,,,,,,,
Allotoca diazi,19.573,-101.5215,,,,,,,
Allotoca diazi,19.5861,-101.7064,,,,,,,
Allotoca diazi,19.6367,-101.5726,,,,,,,
Allotoca diazi,19.5717,-101.6508,,,,,,,
Allotoca diazi,19.5623,-101.616,,,,,,,
Chirostoma promelas,20.28972,-103.21722,,,,,,,
Chirostoma promelas,20.28639,-103.18278,,,,,,,
Chirostoma promelas,20.27917,-103.1875,,,,,,,
Chirostoma promelas,20.27028,-102.72111,,,,,,,
Chirostoma attenuatum,19.54556,-101.61917,,,,,,,
Chirostoma attenuatum,19.58556,-101.6475,,,,,,,
Chirostoma attenuatum,19.54056,-101.65389,,,,,,,
Zoogoneticus tequila,20.6816,-103.8436,,,,,,,
Herichthys steindachneri,21.98083,-99.35417,,,,,,,
Herichthys steindachneri,21.92083,-99.41889,,,,,,,
Herichthys steindachneri,21.920833,-99.418888,,,,,,,
Herichthys steindachneri,21.956388,-99.389722,,,,,,,
Herichthys steindachneri,21.95639,-99.38972,,,,,,,
Herichthys steindachneri,21.938333,-99.396666,,,,,,,
Herichthys steindachneri,21.94,-99.39528,,,,,,,
Herichthys steindachneri,21.98725,-99.256722,,,,,,,
Herichthys steindachneri,21.931388,-99.391666,,,,,,,
Herichthys steindachneri,21.986,-99.255083,,,,,,,
Herichthys steindachneri,21.94,-99.395277,,,,,,,
Herichthys steindachneri,22.0,-99.3,,,,,,,
Herichthys steindachneri,21.96667,-99.5,,,,,,,
Pseudodon cumingii,6.43055556,100.2648056,,,,,,,
Pseudodon cumingii,6.51702778,100.26625,,,,,,,
Pseudodon cumingii,6.18625,100.5486944,,,,,,,
Pseudodon cumingii,20.2682,100.07152,,,,,,,
Poblana alchichica,19.34694,-97.4,,,,,,,
Poblana alchichica,19.40722,-97.37833,,,,,,,
Poblana ferdebueni,19.82889,-98.02889,,,,,,,
Poblana ferdebueni,19.82778,-98.03361,,,,,,,
Poblana letholepis,19.40722,-97.37833,,,,,,,
Poblana letholepis,19.37833,-97.4,,,,,,,
Poblana squamata,19.33556,-97.49111,,,,,,,
Pareuchiloglanis myzostoma,28.72001788,98.68324199,,,,,,,
Pareuchiloglanis myzostoma,28.38749397,98.86554638,,,,,,,
Pareuchiloglanis myzostoma,27.99048047,98.91086498,,,,,,,
Pareuchiloglanis myzostoma,27.65379913,99.00836864,,,,,,,
Pareuchiloglanis myzostoma,27.2671697,99.09763256,,,,,,,
Pareuchiloglanis myzostoma,26.53791023,99.10043766,,,,,,,
Pareuchiloglanis myzostoma,26.04891227,99.12103702,,,,,,,
Pareuchiloglanis myzostoma,26.18701536,99.12241031,,,,,,,
Pareuchiloglanis myzostoma,26.35962519,99.13065006,,,,,,,
Pareuchiloglanis myzostoma,25.90566927,99.13614322,,,,,,,
Pareuchiloglanis myzostoma,26.7269583,99.14163639,,,,,,,
Pareuchiloglanis myzostoma,27.16871061,99.15219152,,,,,,,
Pareuchiloglanis myzostoma,26.88336661,99.18887092,,,,,,,
Pareuchiloglanis myzostoma,25.80062249,99.20480777,,,,,,,
Pareuchiloglanis myzostoma,25.69795747,99.25149967,,,,,,,
Pareuchiloglanis myzostoma,25.64005722,99.27299038,,,,,,,
Pareuchiloglanis myzostoma,25.61684128,99.28603665,,,,,,,
Pareuchiloglanis myzostoma,25.60414799,99.30526272,,,,,,,
Pareuchiloglanis myzostoma,25.60046811,99.32417675,,,,,,,
Pareuchiloglanis myzostoma,25.60758913,99.32846828,,,,,,,
Pareuchiloglanis myzostoma,25.97237127,99.3307396,,,,,,,
Pareuchiloglanis myzostoma,25.94150232,99.33623276,,,,,,,
Pareuchiloglanis myzostoma,25.6102207,99.33722301,,,,,,,
Pareuchiloglanis myzostoma,25.99119735,99.34069596,,,,,,,
Pareuchiloglanis myzostoma,25.92122347,99.34459549,,,,,,,
Pareuchiloglanis myzostoma,25.57875736,99.34611813,,,,,,,
Pareuchiloglanis myzostoma,25.61347138,99.34769436,,,,,,,
Pareuchiloglanis myzostoma,25.55181264,99.34920803,,,,,,,
Pareuchiloglanis myzostoma,25.90547448,99.35146195,,,,,,,
Pareuchiloglanis myzostoma,25.56203377,99.35229794,,,,,,,
Pareuchiloglanis myzostoma,26.0140315,99.35408555,,,,,,,
Pareuchiloglanis myzostoma,25.61873421,99.35576244,,,,,,,
Pareuchiloglanis myzostoma,25.76149801,99.35633198,,,,,,,
Pareuchiloglanis myzostoma,25.78221262,99.35942188,,,,,,,
Pareuchiloglanis myzostoma,25.62523502,99.3603973,,,,,,,
Pareuchiloglanis myzostoma,26.03655273,99.36198197,,,,,,,
Pareuchiloglanis myzostoma,25.74681009,99.36234013,,,,,,,
Pareuchiloglanis myzostoma,25.80289223,99.36302677,,,,,,,
Pareuchiloglanis myzostoma,25.77278329,99.36560169,,,,,,,
Pareuchiloglanis myzostoma,25.83565149,99.36766163,,,,,,,
Pareuchiloglanis myzostoma,25.88703847,99.36809078,,,,,,,
Pareuchiloglanis myzostoma,25.85727999,99.36937824,,,,,,,
Pareuchiloglanis myzostoma,25.63250933,99.37172695,,,,,,,
Pareuchiloglanis myzostoma,25.73598625,99.37555805,,,,,,,
Pareuchiloglanis myzostoma,25.63467605,99.38133999,,,,,,,
Pareuchiloglanis myzostoma,26.30923986,99.38326739,,,,,,,
Pareuchiloglanis myzostoma,26.36277766,99.38326739,,,,,,,
Pareuchiloglanis myzostoma,25.63993794,99.38460155,,,,,,,
Pareuchiloglanis myzostoma,26.34093477,99.38670062,,,,,,,
Pareuchiloglanis myzostoma,26.03871207,99.3880745,,,,,,,
Pareuchiloglanis myzostoma,26.24274472,99.39047717,,,,,,,
Pareuchiloglanis myzostoma,26.2683006,99.39082049,,,,,,,
Pareuchiloglanis myzostoma,26.37928714,99.39264882,,,,,,,
Pareuchiloglanis myzostoma,25.72237774,99.39289585,,,,,,,
Pareuchiloglanis myzostoma,25.64979047,99.39464374,,,,,,,
Pareuchiloglanis myzostoma,25.67392829,99.39498707,,,,,,,
Pareuchiloglanis myzostoma,26.21779922,99.39597033,,,,,,,
Pareuchiloglanis myzostoma,25.66093161,99.39739033,,,,,,,
Pareuchiloglanis myzostoma,25.71050285,99.39959065,,,,,,,
Pareuchiloglanis myzostoma,25.68568598,99.40048023,,,,,,,
Pareuchiloglanis myzostoma,26.41933965,99.40690857,,,,,,,
Pareuchiloglanis myzostoma,25.69373004,99.40769001,,,,,,,
Pareuchiloglanis myzostoma,25.70332032,99.40871998,,,,,,,
Pareuchiloglanis myzostoma,26.03192543,99.41451035,,,,,,,
Pareuchiloglanis myzostoma,26.44647236,99.41854266,,,,,,,
Pareuchiloglanis myzostoma,26.49579858,99.42661074,,,,,,,
Pareuchiloglanis myzostoma,26.52763438,99.43101513,,,,,,,
Pareuchiloglanis myzostoma,26.55189883,99.43273175,,,,,,,
Pareuchiloglanis myzostoma,26.04773589,99.43586446,,,,,,,
Pareuchiloglanis myzostoma,26.10963977,99.43613968,,,,,,,
Pareuchiloglanis myzostoma,26.08250729,99.43682633,,,,,,,
Pareuchiloglanis myzostoma,26.20455438,99.43716906,,,,,,,
Pareuchiloglanis myzostoma,26.57370174,99.43753827,,,,,,,
Pareuchiloglanis myzostoma,26.17128161,99.43854235,,,,,,,
Pareuchiloglanis myzostoma,26.06153698,99.44197617,,,,,,,
Pareuchiloglanis myzostoma,26.13676596,99.44197617,,,,,,,
Pareuchiloglanis myzostoma,26.59396551,99.44886792,,,,,,,
Pareuchiloglanis myzostoma,26.60839358,99.46294415,,,,,,,
Pareuchiloglanis myzostoma,26.6150933,99.47839367,,,,,,,
Prietella phreatophila,27.865,-101.53,,,,,,,
Prietella phreatophila,27.81111111,-101.48,,,,,,,
Prietella phreatophila,27.80583333,-101.38,,,,,,,
Prietella phreatophila,28.41833333,-100.89,,,,,,,
Scleronema operculatum,-29.54055595,-55.12944412,,,,,,,
Scleronema operculatum,-29.63333321,-54.84999847,,,,,,,
Scleronema operculatum,-29.47166634,-54.67194366,,,,,,,
Scleronema operculatum,-30.69111111,-54.36333333,,,,,,,
Scleronema operculatum,-29.904987,-54.835721,,,,,,,
Scleronema operculatum,-28.85,-57.81,,,,,,,
Garcialebias charrua,-33.70000076,-53.48333359,,,,,,,
Garcialebias charrua,-33.68972222,-53.44166667,,,,,,,
Garcialebias charrua,-32.69666667,-53.16277778,,,,,,,
Garcialebias charrua,-32.74138889,-52.64333333,,,,,,,
Garcialebias charrua,-33.22167,-54.398834,,,,,,,
Garcialebias charrua,-33.454666,-54.301,,,,,,,
Garcialebias charrua,-33.613667,-54.3,,,,,,,
Garcialebias charrua,-32.916668,-53.9,,,,,,,
Garcialebias charrua,-33.920166,-53.5435,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,88999.06590680618
Garcialebias charrua,-34.813013,-54.916786,,,,,,,
Garcialebias charrua,-33.799506,-54.575587,,,,,,,
Garcialebias charrua,-33.801117,-54.571467,,,,,,,
Garcialebias charrua,-33.204167,-54.549722,,,,,,,
Garcialebias charrua,-33.574233,-54.5127,,,,,,,
Garcialebias charrua,-33.572874,-54.501181,,,,,,,
Garcialebias charrua,-33.883389,-54.483175,,,,,,,
Garcialebias charrua,-33.663903,-54.472661,,,,,,,
Garcialebias charrua,-33.8741,-54.4149,,,,,,,
Garcialebias charrua,-33.224806,-54.39571,,,,,,,
Garcialebias charrua,-33.304133,-54.3373,,,,,,,
Garcialebias charrua,-34.053396,-54.112728,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,69840.99606588828
Garcialebias charrua,-33.597497,-54.101834,,,,,,,
Garcialebias charrua,-33.239995,-53.929269,,,,,,,
Garcialebias charrua,-33.861071,-53.901835,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,89737.30164457281
Garcialebias charrua,-33.143305,-53.884646,,,,,,,
Garcialebias charrua,-33.446664,-53.865762,,,,,,,
Garcialebias charrua,-34.056148,-53.864172,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,63557.55785897884
Garcialebias charrua,-34.061449,-53.854945,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,62849.371652156595
Garcialebias charrua,-34.12584,-53.8382,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,54285.25117199459
Garcialebias charrua,-34.039573,-53.828952,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,65863.22584958453
Garcialebias charrua,-34.028216,-53.821102,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,67430.20119151134
Garcialebias charrua,-33.256394,-53.800543,,,,,,,
Garcialebias charrua,-34.206109,-53.776682,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,44459.47151816402
Garcialebias charrua,-34.197026,-53.774485,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,45700.64311841117
Garcialebias charrua,-34.205394,-53.774286,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,44609.4553148072
Garcialebias charrua,-33.251939,-53.773464,,,,,,,
Garcialebias charrua,-34.200627,-53.769908,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,45338.87209326093
Garcialebias charrua,-34.073652,-53.746405,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,62506.987024466755
Garcialebias charrua,-33.906392,-53.742145,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,84590.85394608713
Garcialebias charrua,-33.601803,-53.723553,,,,,,,
Garcialebias charrua,-33.906355,-53.720229,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,85008.26566596699
Garcialebias charrua,-33.904703,-53.699413,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,85678.44658008152
Garcialebias charrua,-33.974314,-53.644187,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,78273.49001764445
Garcialebias charrua,-34.017419,-53.599289,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,74610.46438328199
Garcialebias charrua,-34.005554,-53.585891,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,76655.49585558473
Garcialebias charrua,-33.661461,-53.576737,,,,,,,
Garcialebias charrua,-33.920421,-53.542033,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,89032.5963634855
Garcialebias charrua,-33.770976,-53.527191,,,,,,,
Garcialebias charrua,-33.892893,-53.52406,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,93201.06457713024
Garcialebias charrua,-33.689739,-53.5239,,,,,,,
Garcialebias charrua,-33.896259,-53.515565,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,93174.81593457011
Garcialebias charrua,-33.896292,-53.515498,0.004,pieces/m3,0.0005-0.005,0.00045,-34.53,-53.86,93173.87057669296
Garcialebias charrua,-33.804205,-53.504661,,,,,,,
Garcialebias charrua,-33.734082,-53.472466,,,,,,,
Garcialebias charrua,-33.748141,-53.471621,,,,,,,
Garcialebias charrua,-33.706468,-53.458964,,,,,,,
Garcialebias charrua,-33.753468,-53.421436,,,,,,,
Garcialebias charrua,-33.75391,-53.40362,,,,,,,
Garcialebias charrua,-33.754408,-53.394517,,,,,,,
Brycon orbignyanus,-23.86111,-54.013332,,,,,,,
Brycon orbignyanus,-23.86111,-50.013332,,,,,,,
Brycon orbignyanus,-24.3833333,-54.2405556,,,,,,,
Brycon orbignyanus,-34.166668,-58.1,0.125046,pieces/m3,0.005-1,0.33,-34.671667,-58.1,67836.44446962001
Brycon orbignyanus,-21.049999,-51.783333,,,,,,,
Brycon orbignyanus,-21.97,-47.42,,,,,,,
Brycon orbignyanus,-21.916666,-47.366665,,,,,,,
Brycon orbignyanus,-25.5469444,-54.5863889,,,,,,,
Brycon orbignyanus,-22.8352778,-53.5619444,,,,,,,
Brycon orbignyanus,-22.7719444,-53.2669444,,,,,,,
Brycon orbignyanus,-24.066668,-54.25,,,,,,,
Brycon orbignyanus,-23.35,-53.783333,,,,,,,
Brycon orbignyanus,-20.650605,-51.515465,,,,,,,
Brycon orbignyanus,-20.783333,-51.633335,,,,,,,
Brycon orbignyanus,-24.08,-54.25583333,,,,,,,
Brycon orbignyanus,-22.8258333,-53.5525,,,,,,,
Brycon orbignyanus,-23.8738889,-53.9019444,,,,,,,
Brycon orbignyanus,-22.7944444,-53.5372222,,,,,,,
Brycon orbignyanus,-20.383333,-51.35,,,,,,,
Brycon orbignyanus,-20.7886111,-51.7063889,,,,,,,
Brycon orbignyanus,-22.283333,-52.633335,,,,,,,
Brycon orbignyanus,-23.2641667,-51.88,,,,,,,
Brycon orbignyanus,-22.723555,-47.658138,,,,,,,
Brycon orbignyanus,-25.429241,-54.556235,,,,,,,
Brycon orbignyanus,-24.483334,-54.316666,,,,,,,
Brycon orbignyanus,-17.7269444,-48.5483333,,,,,,,
Brycon orbignyanus,-25.266666,-54.466667,,,,,,,
Brycon orbignyanus,-20.0038889,-48.14,,,,,,,
Brycon orbignyanus,-25.4166667,-54.6333333,,,,,,,
Brycon orbignyanus,-25.5466667,-54.5880556,,,,,,,
Brycon orbignyanus,-21.05,-51.766666,,,,,,,
Brycon orbignyanus,-19.0583333,-47.9555556,,,,,,,
Brycon orbignyanus,-19.1291667,-47.7305556,,,,,,,
Brycon orbignyanus,-19.1730556,-47.6383333,,,,,,,
Brycon orbignyanus,-19.1780556,-47.1680556,,,,,,,
Brycon orbignyanus,-22.5427778,-51.9905556,,,,,,,
Brycon orbignyanus,-34.5,-58.433334,0.125046,pieces/m3,0.005-1,0.33,-34.671667,-58.1,43712.7620660539
Brycon orbignyanus,-19.983334,-50.883335,,,,,,,
Brycon orbignyanus,-25.652911,-54.454167,,,,,,,
Brycon orbignyanus,-25.65291111,-54.45416667,,,,,,,
Brycon orbignyanus,-25.583334,-54.583332,,,,,,,
Brycon orbignyanus,-23.414722,-50.452389,,,,,,,
Brycon orbignyanus,-23.41472222,-50.45238889,,,,,,,
Brycon orbignyanus,-25.581156,-54.542232,,,,,,,
Brycon orbignyanus,-22.75,-53.2833333,,,,,,,
Brycon orbignyanus,-23.35,-53.78333333,,,,,,,
