sci_name,lat_species,lon_species,microplastics_measurement,unit,concentration_class_range,mesh_size_mm,lat_microplastic,lon_microplastic,dist_meters
Hubbsina turneri,19.8745,-101.4795,,,,,,,
Hubbsina turneri,19.8256,-101.7773,,,,,,,
Hubbsina turneri,19.8273,-101.7876,,,,,,,
Ictalurus mexicanus,21.98083,-99.35417,,,,,,,
Ictalurus mexicanus,22.0,-99.3,,,,,,,
Ameca splendens,20.9014,-104.0793,,,,,,,
Ameca splendens,20.6801,-103.845,,,,,,,
Ameca splendens,20.681,-103.8433,,,,,,,
Ameca splendens,20.6761,-103.8431,,,,,,,
Ameca splendens,20.6758,-103.8427,,,,,,,
Ameca splendens,20.6896,-103.8415,,,,,,,
Ameca splendens,20.6897,-103.8417,,,,,,,
Ameca splendens,20.6814,-103.844,,,,,,,
Ameca splendens,19.955,-103.5148,,,,,,,
Ameca splendens,20.5626,-103.927,,,,,,,
Lucania interioris,26.9333324,-102.0999985,,,,,,,
Lucania interioris,26.91516,-102.107245,,,,,,,
Lucania interioris,27.221793,-101.393412,,,,,,,
Lucania interioris,27.657163,-98.14317,,pieces/10 mins,2-40,,27.5144,-97.8685,35398.1903957535
Lucania interioris,26.8704,-102.07849,,,,,,,
Lucania interioris,26.91401,-102.0396,,,,,,,
Lucania interioris,26.910114,-102.035469,,,,,,,
Lucania interioris,26.75222222,-102.16,,,,,,,
Lucania interioris,26.91666667,-102.16,,,,,,,
Lucania interioris,26.93333333,-102.1,,,,,,,
Notropis aguirrepequenoi,24.570522,-98.453525,,,,,,,
Notropis aguirrepequenoi,25.18,-99.87,,,,,,,
Notropis aguirrepequenoi,23.17277778,-99.03444444,,,,,,,
Notropis aguirrepequenoi,23.00055556,-98.95111111,,,,,,,
Ophisternon infernale,20.67833333,-89.29638889,0.0,pieces/m3,0-100,0.5,21.29148,-89.634561,81848.28691331125
Ophisternon infernale,20.67833333,-89.29638889,2820.874471,pieces/m3,500-30000,0.5,21.29148,-89.634561,81848.28691331125
Ophisternon infernale,20.67833333,-89.29638889,3526.093089,pieces/m3,500-30000,0.5,21.29148,-89.634561,81848.28691331125
Ophisternon infernale,20.67833333,-89.29638889,2115.655853,pieces/m3,500-30000,0.5,21.29148,-89.634561,81848.28691331125
Ophisternon infernale,20.67833333,-89.29638889,1410.437236,pieces/m3,500-30000,0.5,21.29148,-89.634561,81848.28691331125
Ophisternon infernale,20.67833333,-89.29638889,705.218618,pieces/m3,500-30000,0.5,21.29148,-89.634561,81848.28691331125
Ophisternon infernale,20.66972222,-89.16833333,0.0,pieces/m3,0-100,0.5,21.29148,-89.634561,90137.15803751319
Ophisternon infernale,20.66972222,-89.16833333,2820.874471,pieces/m3,500-30000,0.5,21.29148,-89.634561,90137.15803751319
Ophisternon infernale,20.66972222,-89.16833333,3526.093089,pieces/m3,500-30000,0.5,21.29148,-89.634561,90137.15803751319
Ophisternon infernale,20.66972222,-89.16833333,2115.655853,pieces/m3,500-30000,0.5,21.29148,-89.634561,90137.15803751319
Ophisternon infernale,20.66972222,-89.16833333,1410.437236,pieces/m3,500-30000,0.5,21.29148,-89.634561,90137.15803751319
Ophisternon infernale,20.66972222,-89.16833333,705.218618,pieces/m3,500-30000,0.5,21.29148,-89.634561,90137.15803751319
Ophisternon infernale,20.79611111,-89.03555556,2820.874471,pieces/m3,500-30000,0.5,21.29148,-89.634561,88863.74450986307
Ophisternon infernale,20.79611111,-89.03555556,3526.093089,pieces/m3,500-30000,0.5,21.29148,-89.634561,88863.74450986307
Ophisternon infernale,20.79611111,-89.03555556,2115.655853,pieces/m3,500-30000,0.5,21.29148,-89.634561,88863.74450986307
Ophisternon infernale,20.79611111,-89.03555556,1410.437236,pieces/m3,500-30000,0.5,21.29148,-89.634561,88863.74450986307
Ophisternon infernale,20.79611111,-89.03555556,705.218618,pieces/m3,500-30000,0.5,21.29148,-89.634561,88863.74450986307
Ophisternon infernale,20.79611111,-89.03555556,0.0,pieces/m3,0-100,0.5,21.29148,-89.634561,88863.74450986307
Ophisternon infernale,20.115,-88.7175,,,,,,,
Ophisternon infernale,19.47,-88.02,,pieces/10 mins,2-40,,19.8006,-87.4759,71953.55720430026
Ophisternon infernale,20.83,-89.5,0.0,pieces/m3,0-100,0.5,21.29148,-89.634561,56740.901827418485
Ophisternon infernale,20.83,-89.5,2820.874471,pieces/m3,500-30000,0.5,21.29148,-89.634561,56740.901827418485
Ophisternon infernale,20.83,-89.5,3526.093089,pieces/m3,500-30000,0.5,21.29148,-89.634561,56740.901827418485
Ophisternon infernale,20.83,-89.5,2115.655853,pieces/m3,500-30000,0.5,21.29148,-89.634561,56740.901827418485
Ophisternon infernale,20.83,-89.5,1410.437236,pieces/m3,500-30000,0.5,21.29148,-89.634561,56740.901827418485
Ophisternon infernale,20.83,-89.5,705.218618,pieces/m3,500-30000,0.5,21.29148,-89.634561,56740.901827418485
