Source,DOI,Authors,Year,"Technical ""Red Criteria""","Risk Assessment ""Red Criteria""",Species,Organism Group,Environment,Life Stage,In vitro/in vivo,Sex,Estimated Body Length (cm),Estimated Maximum Ingestible Size (mm),Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Temperature (Avg),Exposure Duration (days),Acute/Chronic,Number of Doses,Replicates,Sample Size,Dosing Frequency,Chemicals Added,"Added Chemical Dose (mg/L, nominal)",particles/mL water (master),μg/mL water (master),Effect,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Effect Metric,AF Time,AF NOEC,Polymer,Shape,Density (g/cm^3),"Density, reported or estimated",Charge,Zeta Potential (mV),Zeta Potential Media,Particle Length (μm),Particle Width (μm),Size Category,Particle Surface Area (μm^2),Particle Volume (μm^3),Particle Mass (mg),Weathered or Biofouled?,Size Validated?,Polymer Validated?,Shape Validated,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Organisms Fed?,charge_missing,zeta_media_missing,zeta_missing,zeta_imputed_by_group,zeta_imputed_by_global,effect_metric_missing,af_noec_missing,particle_width_missing,particles_ml_missing,ug_ml_water_missing,estimated_body_length_missing,estimated_max_ingestible_missing,particle_mass_missing,particle_mass_imputed_by_group,particle_mass_imputed_by_global,particle_volume_missing,particle_area_missing,density_reported_flag,density_estimated_flag,density_unknown_flag,Sample Size_num,sample_size_missing,sample_size_outlier,particle_length_missing,shape_missing,density_missing,dosing_frequency_missing,size_validated_missing,size_validated_yes,size_validated_no,size_validated_unknown,shape_validated_missing,shape_validated_yes,shape_validated_no,shape_validated_unknown,effect_missing,effect_yes,effect_no,effect_unknown,uptake_validated_missing,uptake_yes,uptake_no,uptake_unknown,species_missing,concentration_validated_missing,exposure_duration_missing,size_category_missing,replicates_missing
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,Not Reported,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,316.0362441,0.00139,yes,increase,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,1,2.0,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,Not Reported,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,2523.742669,0.0111,yes,increase,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,1,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,Not Reported,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,316.0362441,0.00139,no,Not Reported,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,1,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,Not Reported,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,2523.742669,0.0111,no,Not Reported,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,1,1.0,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,early,In Vivo,Not Reported,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,316.0362441,0.00139,yes,increase,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,1,2.0,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,early,In Vivo,Not Reported,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,2523.742669,0.0111,no,Not Reported,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,1,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,early,In Vivo,Not Reported,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,316.0362441,0.00139,no,Not Reported,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,1,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,early,In Vivo,Not Reported,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,2523.742669,0.0111,no,Not Reported,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,1,1.0,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,early,In Vivo,Not Reported,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,316.0362441,0.00139,yes,decrease,Fitness,Growth,Length,Organism,Not Reported,not_reported,1,2.0,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Koelmans,10.7717/peerj.4601,Aljaibachi & Callaghan,2018,Red Criteria Passed,Red Criteria Failed,Daphnia magna,Crustacea,Freshwater,early,In Vivo,Not Reported,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8,1.0,2.0,Not Reported,0.0,2523.742669,0.0111,no,Not Reported,Fitness,Growth,Length,Organism,Not Reported,not_reported,1,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-9.1,not_reported,2.0,2.0,1µm < 100µm,9.916426400047946,2.806489437206882,2.946813909067226e-09,No,no,N,no,commercial,No,N,not_cleaned,none,N,no,Not Evaluated,yes,Yes,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
