"Source","DOI","Authors","Year","Technical ""Red Criteria""","Risk Assessment ""Red Criteria""","Species","Organism Group","Environment","Life Stage","In vitro/in vivo","Sex","Estimated Body Length (cm)","Estimated Maximum Ingestible Size (mm)","Experiment Type","Exposure Route","Particle Mix?","Negative Control","Reference Particle","Exposure Media","Solvent","Detergent","pH","Salinity (ppt)","Temperature (Avg)","Temperature (Min)","Temperature (Max)","Exposure Duration (days)","Recovery (Days)","Acute/Chronic","Number of Doses","Replicates","Sample Size","Dosing Frequency","Chemicals Added","Added Chemical Dose (mg/L, nominal)","Added Chemical Dose (mg/L, measured)","particles/mL water (master)","particles/mL water (master), reported or converted","μg/mL water (master)","μg/mL water (master), reported or converted","μm^3/mL water (master)","μm^2/mL water (master)","μm^2/ug/mL water (master)","particles/kg sediment dry weight (master)","particles/kg sediment dry weight (master), reported or converted","mg/kg sediment dry weight (master)","mg/kg sediment dry weight (master), reported or converted","μm^3/kg sediment dry weight (master)","μm^2/kg sediment dry weight (master)","μm^2/ug/kg sediment dry weight (master)","Nominal Dose Alternative Category","Nominal Dose Alternative Type","Nominal Dose Alternative Type Units","Measured Dose Alternative Category","Measured Dose Alternative Type","Measured Dose Alternative Type Units","Effect","Direction","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Level of Biological Organization","Target Cell or Tissue","Effect Metric","AF Time","AF NOEC","Polymer","Shape","Density (g/cm^3)","Density, reported or estimated","Charge","Zeta Potential (mV)","Zeta Potential Media","Functional Group","Particle Length (μm)","Particle Width (μm)","Size Category","Particle Surface Area (μm^2)","Particle Volume (μm^3)","Particle Mass (mg)","Weathered or Biofouled?","Size Validated?","Polymer Validated?","Shape Validated","Particle Source","Sodium Azide Present?","Screened for Chemical Contamination?","Particle Cleaning?","Solvent Rinse","Background Contamination Monitored?","Concentration Validated?","Particle Behavior","Uptake Validated?","Uptake Validation Method","Tissue Distribution","Organisms Fed?","Test Medium Score","Administration Route Score","Test Species Score","Sample Size Score","Control Group Score","Exposure Duration Score","Particle Size Score","Particle Shape Score","Polymer Type Score","Source of Microplastics Score","Data Reporting Score","Chemical Purity Score","Laboratory Preparation Score","Background Contamination Score","Exposure Verification Score","Exposure Homogeneity Score","Exposure Assessment Score","Replication Score","Number of Treatments Score","Endpoints Score","Food Availability Score","Effect Thresholds Score","Dose Response Score","Concentration Range Score","Aging and Biofouling Score","Microplastic Diversity Score","Exposure Time Score"
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,316.0362441,"converted",0.00139,"reported",886.9523808411857,3133.950154365237,1063504602283231.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","increase","Fitness","Mortality","Mortality","Organism","Not Reported",NA,1,2,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2523.742669,"converted",0.0111,"reported",7082.857142776805,25026.50842979907,8492734594740957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","increase","Fitness","Mortality","Mortality","Organism","Not Reported",NA,1,NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,316.0362441,"converted",0.00139,"reported",886.9523808411857,3133.950154365237,1063504602283231.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,1,NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2523.742669,"converted",0.0111,"reported",7082.857142776805,25026.50842979907,8492734594740957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,1,1,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,316.0362441,"converted",0.00139,"reported",886.9523808411857,3133.950154365237,1063504602283231.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","increase","Fitness","Mortality","Mortality","Organism","Not Reported",NA,1,2,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2523.742669,"converted",0.0111,"reported",7082.857142776805,25026.50842979907,8492734594740957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not Reported","Fitness","Mortality","Mortality","Organism","Not Reported",NA,1,NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,316.0362441,"converted",0.00139,"reported",886.9523808411857,3133.950154365237,1063504602283231.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,1,NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2523.742669,"converted",0.0111,"reported",7082.857142776805,25026.50842979907,8492734594740957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,1,1,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,316.0362441,"converted",0.00139,"reported",886.9523808411857,3133.950154365237,1063504602283231.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","decrease","Fitness","Growth","Length","Organism","Not Reported",NA,1,2,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
"Koelmans","10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Red Criteria Passed","Red Criteria Failed","Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2523.742669,"converted",0.0111,"reported",7082.857142776805,25026.50842979907,8492734594740957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not Reported","Fitness","Growth","Length","Organism","Not Reported",NA,1,NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",9.916426400047946,2.806489437206882,2.9468139090672264e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes",2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2
