iucn_id,sci_name,redlistCategory,vuln,geometry,dist_m,distance_km,log_distance_km,index_right,mp_pieces_m3,mp_effective_m3,mp_particles_ml,log_mp_particles_ml,log_toxic_pressure,toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class
0,Hubbsina turneri,CR,4,POINT (-11296646.265956 2258169.640465),244627.45427349268,244.62745427349267,2.390276907147939,13104,2115.655853,15.87223019930517,1.587223019930517e-05,-4.799362019090403,-6.214335367061222,6.104704307425056e-07,2.4418817229700224e-06,0.016823641754177682,elevated relative pressure
1,Hubbsina turneri,CR,4,POINT (-11329797.210314 2252382.256927),237016.4898424897,237.0164898424897,2.376607046130132,13104,2115.655853,18.481871681324115,1.8481871681324115e-05,-4.733254025866976,-6.148227373837794,7.108412569740039e-07,2.8433650278960156e-06,0.019589709961007187,elevated relative pressure
2,Hubbsina turneri,CR,4,POINT (-11330943.801069 2252583.424406),237235.70953412575,237.23570953412576,2.3770068591252245,13104,2115.655853,18.401017255451848,1.8401017255451847e-05,-4.7351581438117645,-6.150131491782583,7.077314713635324e-07,2.8309258854541296e-06,0.019504008971684438,elevated relative pressure
3,Ictalurus mexicanus,VU,2,POINT (-11060055.612588 2509223.802994),176956.19272579107,176.95619272579108,2.2503131056854273,13032,2820.874471,81.91469144099196,8.191469144099196e-05,-4.08663819501893,-5.501611542989748,3.150565093884306e-06,6.301130187768612e-06,0.04341240484783284,elevated relative pressure
4,Ictalurus mexicanus,VU,2,POINT (-11054025.435772 2511525.234846),170585.67572110152,170.58567572110152,2.2344810293463473,13032,2820.874471,93.04550713816465,9.304550713816465e-05,-4.03130458801302,-5.446277935983838,3.57867338992941e-06,7.15734677985882e-06,0.04931141351016612,elevated relative pressure
5,Ameca splendens,CR,4,POINT (-11586054.67812 2380125.467227),145126.27648501773,145.12627648501774,2.164728317962732,13124,6346.96756,348.34971332229,0.00034834971332229,-3.4579845412893198,-4.872957889260138,1.3398065935472688e-05,5.359226374189075e-05,0.3692304385842492,elevated relative pressure
6,Ameca splendens,CR,4,POINT (-11559972.521427 2353774.551438),170309.01075617052,170.30901075617052,2.233780207208135,13124,6346.96756,210.51401134028495,0.00021051401134028496,-3.6767189911369718,-5.09169233910779,8.096692782318644e-06,3.2386771129274575e-05,0.22313261034023857,elevated relative pressure
7,Ameca splendens,CR,4,POINT (-11559783.278293 2353881.639296),170492.75093727538,170.4927509372754,2.2342457669765867,13124,6346.96756,209.7418333590997,0.0002097418333590997,-3.6783149380645312,-5.093288286035349,8.066993629196138e-06,3.226797451678455e-05,0.22231414658631415,elevated relative pressure
8,Ameca splendens,CR,4,POINT (-11559761.014395 2353298.613083),170544.49021394516,170.54449021394515,2.2343767736419293,13124,6346.96756,209.52490779926407,0.00020952490779926406,-3.6787643397094945,-5.093737687680313,8.05865033843323e-06,3.223460135373292e-05,0.22208421810822845,elevated relative pressure
9,Ameca splendens,CR,4,POINT (-11559716.486599 2353262.918212),170590.82738080012,170.59082738080014,2.23449406833567,13124,6346.96756,209.3308219347865,0.0002093308219347865,-3.6791668192250158,-5.0941401671958335,8.05118549749179e-06,3.220474198996716e-05,0.22187849837897633,elevated relative pressure
10,Ameca splendens,CR,4,POINT (-11559582.90321 2354904.955303),170645.96332804242,170.64596332804243,2.2346335943917106,13124,6346.96756,209.10011609692592,0.00020910011609692592,-3.6796457239755633,-5.094619071946381,8.042312196035615e-06,3.216924878414246e-05,0.22163396360757842,elevated relative pressure
11,Ameca splendens,CR,4,POINT (-11559605.167108 2354916.854667),170623.21020965488,170.62321020965487,2.2345760211836394,13124,6346.96756,209.19529134454837,0.00020919529134454836,-3.6794480929012723,-5.0944214408720905,8.045972782482622e-06,3.218389112993049e-05,0.22173484383512643,elevated relative pressure
12,Ameca splendens,CR,4,POINT (-11559861.201937 2353929.234103),170412.59862246222,170.4125986224622,2.234042738889018,13124,6346.96756,210.0783288651155,0.0002100783288651155,-3.6776187439071455,-5.092592091877964,8.079935764042895e-06,3.231974305617158e-05,0.22267081225374175,elevated relative pressure
13,Ameca splendens,CR,4,POINT (-11523214.825568 2267700.820491),138592.3294747299,138.5923294747299,2.1448615546888465,13112,4231.311707,264.6533167176189,0.00026465331671761893,-3.577322657284189,-4.992296005255007,1.0178973758369965e-05,4.071589503347986e-05,0.2805171255603987,elevated relative pressure
14,Ameca splendens,CR,4,POINT (-11569100.719673 2339799.076816),162525.16236498018,162.5251623649802,2.213584589017456,13124,6346.96756,245.974821954966,0.000245974821954966,-3.609109343349076,-5.024082691319894,9.460570113652545e-06,3.784228045461018e-05,0.2607190073627855,elevated relative pressure
